time,prediction
1,0.43168712
2,0.40661812
3,0.35006148
4,0.27145615
5,0.3133401
6,0.3141066
7,0.38542694
8,0.27658626
9,0.43114427
10,0.5277549
11,0.32059932
12,0.45268035
13,0.42522436
14,0.32605147
15,0.4319965
16,0.37088588
17,0.29600066
18,0.36205545
19,0.4017192
20,0.30436215
21,0.44731927
22,0.2918106
23,0.34863096
24,0.38676566
25,0.4673973
26,0.38862845
27,0.3862888
28,0.2947178
29,0.27870384
30,0.32636464
31,0.28483388
32,0.28597745
33,0.28508306
34,0.28748992
35,0.33011252
36,0.38556096
37,0.47622383
38,0.5437525
39,0.4875664
40,0.3961561
41,0.4315707
42,0.3385479
43,0.4169411
44,0.4670663
45,0.3812126
46,0.38148397
47,0.36388555
48,0.34490958
49,0.3295412
50,0.54085743
51,0.57608086
52,0.37097442
53,0.33228207
54,0.40014517
55,0.5636409
56,0.52216864
57,0.3493731
58,0.39590448
59,0.333035
60,0.34584934
61,0.47167975
62,0.4923844
63,0.7009258
64,0.63727695
65,0.5430902
66,0.49987376
67,0.4589734
68,0.4870904
69,0.49224234
70,0.5658059
71,0.50127375
72,0.54699737
73,0.8066155
74,0.7055711
75,0.61335325
76,0.68186104
77,0.6945832
78,0.62547624
79,0.59623635
80,0.65508866
81,0.58188957
82,0.5609865
83,0.5951708
84,0.5386039
85,0.66644514
86,0.68440026
87,0.6566448
88,0.56562907
89,0.6697851
90,0.6612051
91,0.7080112
92,0.6361234
93,0.6540521
94,0.55647177
95,0.555077
96,0.53879935
97,0.70758295
98,0.6672182
99,0.66966176
100,0.6184049
101,0.7202542
102,0.72780967
103,0.6489307
104,0.7375813
105,0.8047194
106,0.79340166
107,0.5932228
108,0.65529305
109,0.66843605
110,0.5956635
111,0.58523726
112,0.6819359
113,0.6162714
114,0.7204286
115,0.8434306
116,0.69552183
117,0.65419555
118,0.5782147
119,0.755497
120,0.76993614
121,0.6144499
122,0.7588756
123,0.67558825
124,0.7040307
125,0.6838473
126,0.62834954
127,0.6457591
128,0.7212564
129,0.8537844
130,0.7383569
131,0.806421
132,0.69168705
133,0.7300742
134,0.7474216
135,0.73652285
136,0.7448427
137,0.67171353
138,0.7751413
139,0.7643455
140,0.8020862
141,0.84630966
142,0.75988436
143,0.85074675
144,0.80329394
145,0.825758
146,0.68023
147,0.8258976
148,0.7684915
149,0.7927251
150,0.7299185
151,0.6690789
152,0.6346493
153,0.7303523
154,0.760602
155,0.7109689
156,0.74843717
157,0.702215
158,0.71715873
159,0.6875524
160,0.8734102
161,0.72674763
162,0.85612905
163,0.7297934
164,0.7765149
165,0.6264002
166,0.66985846
167,0.6751978
168,0.68630546
169,0.7249942
170,0.7292572
171,0.7975374
172,0.74964756
173,0.74010015
174,0.32636464
175,0.28483388
176,0.28597745
177,0.28508306
178,0.28748992
179,0.33011252
180,0.38556096
181,0.47622383
182,0.5437525
183,0.4875664
184,0.3961561
185,0.4315707
186,0.3385479
187,0.4169411
188,0.4670663
189,0.3812126
190,0.38148397
191,0.36388555
192,0.34490958
193,0.3295412
194,0.54085743
195,0.57608086
196,0.37097442
197,0.33228207
198,0.40014517
199,0.5636409
200,0.52216864
201,0.3493731
202,0.39590448
203,0.333035
204,0.34584934
205,0.47167975
206,0.4923844
207,0.7009258
208,0.63727695
209,0.5430902
210,0.49987376
211,0.4589734
212,0.4870904
213,0.49224234
214,0.5658059
215,0.50127375
216,0.54699737
217,0.8066155
218,0.7055711
219,0.61335325
220,0.68186104
221,0.6945832
222,0.62547624
223,0.59623635
224,0.65508866
