time,prediction
1,0.39555976
2,0.36959243
3,0.36789376
4,0.32384706
5,0.39876467
6,0.3964325
7,0.41053492
8,0.41474324
9,0.4342749
10,0.52059233
11,0.39620906
12,0.41400546
13,0.42038655
14,0.3586124
15,0.42150316
16,0.38005063
17,0.35660967
18,0.4346448
19,0.4038844
20,0.45803136
21,0.40648198
22,0.40302983
23,0.41857347
24,0.41682777
25,0.4370936
26,0.4067278
27,0.347078
28,0.32331157
29,0.3252754
30,0.36277503
31,0.3501279
32,0.34677944
33,0.3753213
34,0.37837586
35,0.4193875
36,0.46270138
37,0.45105705
38,0.45980352
39,0.4538796
40,0.41646162
41,0.46632963
42,0.38346562
43,0.4993685
44,0.49394488
45,0.46200743
46,0.42090887
47,0.3745015
48,0.3977824
49,0.38873714
50,0.4925475
51,0.5437595
52,0.3928526
53,0.38825208
54,0.4711135
55,0.5133482
56,0.47645426
57,0.36917818
58,0.4121214
59,0.38553232
60,0.40869254
61,0.50262624
62,0.54501307
63,0.714447
64,0.6434692
65,0.50617987
66,0.49969617
67,0.45351917
68,0.49162588
69,0.5487733
70,0.5663952
71,0.55506194
72,0.5804332
73,0.7159262
74,0.6503979
75,0.56544083
76,0.56035924
77,0.6043328
78,0.5598065
79,0.560805
80,0.58306104
81,0.5732397
82,0.5602476
83,0.5831409
84,0.5202012
85,0.59878314
86,0.649112
87,0.5841614
88,0.5792422
89,0.62842387
90,0.6486456
91,0.6187752
92,0.5908603
93,0.580613
94,0.54752064
95,0.5575671
96,0.54624104
97,0.6212376
98,0.6265799
99,0.59426105
100,0.58396643
101,0.6463221
102,0.6693751
103,0.6087058
104,0.6580494
105,0.67513084
106,0.7382619
107,0.603444
108,0.6137036
109,0.65471035
110,0.637379
111,0.5675721
112,0.6380087
113,0.60716134
114,0.6460737
115,0.7118981
116,0.6113876
117,0.6006707
118,0.64635867
119,0.68766344
120,0.6292168
121,0.59179926
122,0.62123954
123,0.6057607
124,0.6542366
125,0.6893255
126,0.6291837
127,0.66980916
128,0.62771624
129,0.7696265
130,0.6691826
131,0.7155546
132,0.6282491
133,0.70172393
134,0.6749409
135,0.6856782
136,0.6815713
137,0.70010585
138,0.7067069
139,0.6959214
140,0.69134784
141,0.7116682
142,0.6983658
143,0.77164274
144,0.76367104
145,0.7635095
146,0.685489
147,0.759692
148,0.71939254
149,0.743886
150,0.72725797
151,0.65986615
152,0.6286454
153,0.6831406
154,0.70681787
155,0.61609334
156,0.6435851
157,0.7094083
158,0.65302116
159,0.6569752
160,0.6852674
161,0.6148091
162,0.76003945
163,0.63993204
164,0.694732
165,0.594442
166,0.63468707
167,0.6368664
168,0.63138074
169,0.650327
170,0.65191746
171,0.6865624
172,0.6852193
173,0.6900675
174,0.36277503
175,0.3501279
176,0.34677944
177,0.3753213
178,0.37837586
179,0.4193875
180,0.46270138
181,0.45105705
182,0.45980352
183,0.4538796
184,0.41646162
185,0.46632963
186,0.38346562
187,0.4993685
188,0.49394488
189,0.46200743
190,0.42090887
191,0.3745015
192,0.3977824
193,0.38873714
194,0.4925475
195,0.5437595
196,0.3928526
197,0.38825208
198,0.4711135
199,0.5133482
200,0.47645426
201,0.36917818
202,0.4121214
203,0.38553232
204,0.40869254
205,0.50262624
206,0.54501307
207,0.714447
208,0.6434692
209,0.50617987
210,0.49969617
211,0.45351917
212,0.49162588
213,0.5487733
214,0.5663952
215,0.55506194
216,0.5804332
217,0.7159262
218,0.6503979
219,0.56544083
220,0.56035924
221,0.6043328
222,0.5598065
223,0.560805
224,0.58306104
225,0.5732397
226,0.5602476
227,0.5831409
228,0.5202012
229,0.59878314
230,0.649112
231,0.5841614
232,0.5792422
233,0.62842387
234,0.6486456
235,0.6187752
236,0.5908603
237,0.580613
238,0.54752064
239,0.5575671
240,0.54624104
241,0.6212376
242,0.6265799
243,0.59426105
244,0.58396643
245,0.6463221
246,0.6693751
247,0.6087058
248,0.6580494
249,0.67513084
250,0.7382619
251,0.603444
252,0.6137036
253,0.65471035
254,0.637379
255,0.5675721
256,0.6380087
257,0.60716134
258,0.6460737
259,0.7118981
260,0.6113876
261,0.6006707
262,0.64635867
263,0.68766344
264,0.6292168
265,0.59179926
266,0.62123954
267,0.6057607
268,0.6542366
269,0.6893255
270,0.6291837
271,0.66980916
272,0.62771624
273,0.7696265
274,0.6691826
275,0.7155546
276,0.6282491
277,0.70172393
278,0.6749409
279,0.6856782
280,0.6815713
281,0.70010585
282,0.7067069
283,0.6959214
284,0.69134784
285,0.7116682
286,0.6983658
287,0.77164274
288,0.76367104
289,0.7635095
290,0.685489
291,0.759692
292,0.71939254
293,0.743886
294,0.72725797
295,0.65986615
296,0.6286454
297,0.6831406
298,0.70681787
299,0.61609334
300,0.6435851
301,0.7094083
302,0.65302116
303,0.6569752
304,0.6852674
305,0.6148091
306,0.76003945
307,0.63993204
308,0.694732
309,0.594442
310,0.63468707
311,0.6368664
312,0.63138074
313,0.650327
314,0.65191746
315,0.6865624
316,0.6852193
317,0.6900675
318,0.6920614
319,0.72455466
320,0.6956389
321,0.7127411
322,0.6988974
323,0.6776891
324,0.6833854
325,0.6878885
326,0.6362912
327,0.6664257
328,0.6459528
329,0.6894224
330,0.68832767
331,0.64724743
332,0.68408614
333,0.69697344
334,0.6918713
335,0.71879184
336,0.6716509
337,0.6914302
338,0.597712
339,0.6202467
340,0.6410217
341,0.70877314
342,0.66921103
343,0.6472106
344,0.7054385
345,0.71847016
346,0.705626
347,0.70574176
348,0.6948646
349,0.68570673
350,0.7117224
351,0.66265106
352,0.77294
353,0.6884409
354,0.6660849
355,0.6214464
356,0.59235966
357,0.5389999
358,0.5389999
359,0.5389999
360,0.4370936
361,0.4067278
362,0.347078
363,0.32331157
364,0.3252754
365,0.36277503
366,0.3501279
367,0.34677944
368,0.3753213
369,0.37837586
370,0.4193875
371,0.46270138
372,0.45105705
373,0.45980352
374,0.4538796
375,0.41646162
376,0.46632963
377,0.38346562
378,0.4993685
379,0.49394488
380,0.46200743
381,0.42090887
382,0.3745015
383,0.3977824
384,0.38873714
385,0.4925475
386,0.5437595
387,0.3928526
388,0.38825208
389,0.4711135
390,0.5133482
391,0.47645426
392,0.36917818
393,0.4121214
394,0.38553232
395,0.40869254
396,0.50262624
397,0.54501307
398,0.714447
399,0.6434692
400,0.50617987
401,0.49969617
402,0.45351917
403,0.49162588
404,0.5487733
405,0.5663952
406,0.55506194
407,0.5804332
